,content
1365,i fill diesel for car full tank after i use shell asia app points added but after one hour debit poor and frauds. so i usein now other services i don't recommend this shell those are frauds.i rise a with mail and twitter no response thanks for the worst and worst service
1458,"avoid. typical useless app, adding inconveniences. quicker to use your payment card directly at the fuel pump terminal."
1288,always having problems with their otp and no resolutions found. other older reviews complain about the same problem. but they respond as though the problem has never occurred before. disappointing.
1456,useless initiative... waste my time install this apps
1455,stupid app. slow. unable to detect when i've arrived at a station. unable to use. useless.
1290,very poor service provide by staff .coin system is very bad .not satisfied by service & staff is not supporting.
1291,unable to customize the amount i want to pump what a noob app
1453,quite useless as it can not detect some petrol stations in urban areas
1285,debit card payment slow and take time. please add other payment that faster
1293,"lousy, stuck at redemption page forever"
1449,very bad app it's a frod
1446,useless app. cannot redeem vouchers at shell petrol station. the owner pump station don't know about this app.
1443,probably worst app out there.why the fk credit points if it is not redeemable
1439,i gp few station also can't detect call me go pay cash. pls upgrade ur apps
1309,"waste of time, 15 minute for payment approved? what? apps very slow and lagging, cant detect my current location, need to onn off phone, you cant choose amount, still and too far to challenge setel apps,"
1311,i can't login again. otp code is not coming in my sms. i trying for half day to login. but til now i can't do it. please help me. thx u.
1429,dumb app. the person who designed the flow of the payment transaction must have never pumped fuel at a petrol station before. it takes too long just to execute a payment with credit card on the app. the verification otp is unnecessary for each payment. reward points are lame and not at par with setel. pathetic app.
1296,bad application my point are nill and block my all contacts
1313,very slow to buy petrol
1279,useless app pay using visa and the amount is not refunded should learn to develop their app from sette petronas. international company but the app so china man style.
