,content
796,zero ratings for this app.....shows no internet connection when open this app.....total waste and fraudulent app....no need to download this app.
690,"your staff are least interested in scanning the qr, fuel pay and go is their mantra... when we ask for scanning common response is go to shell store... or mail us... useless app"
869,your rewards points very high to get little item
809,your norms about filling in empty bottles are highly recommend. for aluminum cans 
665,"you want us to use this app by the end of feb 2022, but some stations dont use this app. how dissapointing!"
519,you expect us to change from cards to digital by the end of february 2022 and yet the app doesn't recognize my card number and keep insisting that my card number doesn't exist! please fix the app or don't bother to force it on costumers.
817,wrost app can't use point when we go in store they said point was unative wrost app
167,wow so cute offer
852,"worth less app so high points required for little thing. you will get 200 points on buying 4500 rupees petrol, in app you will get 20 rupee water bottle from 200 points."
966,"worst.. no use waste,,,,..fake and worst no use .. fully useless don't install this app.. biggest zeroo...worst .. worsted.."
